Time (s),GPH (m),Prs (hPa),Pot. Temp ('C),Temp ('C),MixR (g/kg),Dewp ('C),Uspd (m/s),Vspd (m/s),Lon,Lat
0.000,171.576,1005.900,19.351,19.843,4.685,2.892,-1.567,0.537,-97.000,33.000
0.000,220.937,1000.000,18.678,18.678,4.715,2.897,-1.484,0.722,-97.000,33.000
0.000,435.856,975.000,17.789,15.692,4.363,1.462,-1.867,0.405,-97.000,33.000
0.000,655.208,950.000,17.796,13.565,4.223,0.650,-2.052,0.262,-97.000,33.000
0.000,878.782,925.000,17.924,11.514,3.862,-0.940,-2.347,0.182,-97.000,33.000
0.000,1106.704,900.000,18.092,9.458,3.279,-3.510,-2.755,-0.060,-97.000,33.000
0.000,1339.232,875.000,18.722,7.800,2.571,-7.073,-3.832,-1.200,-97.000,33.000
0.000,1577.285,850.000,20.226,6.919,1.303,-15.913,-5.765,-3.174,-97.000,33.000
0.000,1821.832,825.000,22.267,6.473,0.568,-25.794,-7.559,-4.468,-97.000,33.000
0.000,2073.588,800.000,24.691,6.301,0.419,-29.425,-8.619,-4.181,-97.000,33.000
0.000,2333.179,775.000,26.886,5.819,0.306,-33.041,-8.672,-4.102,-97.000,33.000
0.000,2600.448,750.000,28.890,5.065,0.229,-36.329,-8.103,-4.052,-97.000,33.000
0.000,2875.823,725.000,30.111,3.497,0.226,-36.773,-6.726,-3.405,-97.000,33.000
0.000,3159.174,700.000,31.220,1.740,0.245,-36.351,-5.772,-2.344,-97.000,33.000
0.000,3450.374,675.000,32.131,-0.286,0.284,-35.218,-5.246,-1.024,-97.000,33.000
0.000,3751.338,650.000,33.142,-2.318,0.274,-35.946,-3.774,-1.034,-97.000,33.000
0.000,4060.223,625.000,34.219,-4.393,0.253,-37.128,-2.106,-1.293,-97.000,33.000
0.000,4381.196,600.000,35.548,-6.360,0.206,-39.567,-0.446,-1.549,-97.000,33.000
0.000,4711.078,575.000,36.991,-8.351,0.156,-42.616,1.301,-1.776,-97.000,33.000
0.000,5055.063,550.000,38.120,-10.740,0.136,-44.314,1.669,-2.217,-97.000,33.000
0.000,5409.293,525.000,39.232,-13.279,0.126,-45.422,2.013,-2.543,-97.000,33.000
0.000,5778.783,500.000,39.999,-16.246,0.235,-40.046,2.510,-2.412,-97.000,33.000
0.000,6161.806,475.000,40.879,-19.271,0.364,-36.245,3.152,-1.794,-97.000,33.000
0.000,6560.705,450.000,41.994,-22.274,0.531,-32.975,4.069,-0.597,-97.000,33.000
0.000,6978.490,425.000,43.781,-24.936,0.333,-38.242,6.080,-2.042,-97.000,33.000
0.000,7416.641,400.000,45.457,-27.907,0.159,-45.785,7.938,-3.525,-97.000,33.000
0.000,7876.117,375.000,47.042,-31.189,0.070,-53.492,8.815,-4.456,-97.000,33.000
0.000,8360.559,350.000,48.467,-34.854,0.048,-57.225,8.486,-4.818,-97.000,33.000
0.000,8873.333,325.000,50.276,-38.533,0.027,-62.181,9.484,-5.575,-97.000,33.000
0.000,9418.259,300.000,51.694,-42.830,0.023,-64.014,12.091,-5.764,-97.000,33.000
0.000,9997.865,275.000,52.555,-47.889,0.025,-63.968,13.483,-5.872,-97.000,33.000
0.000,10618.514,250.000,54.119,-52.885,0.027,-64.179,16.227,-7.723,-97.000,33.000
0.000,11291.048,225.000,58.220,-56.736,0.023,-66.278,16.419,-12.088,-97.000,33.000
0.000,12033.750,200.000,67.169,-58.245,0.015,-69.929,15.132,-10.807,-97.000,33.000
0.000,12872.307,175.000,80.348,-58.276,0.008,-75.629,20.010,-8.720,-97.000,33.000
0.000,13843.162,150.000,96.998,-57.846,0.003,-82.844,26.373,-11.049,-97.000,33.000
0.000,14991.625,125.000,116.570,-57.964,0.002,-87.037,26.102,-9.403,-97.000,33.000
0.000,16385.488,100.000,135.004,-61.701,0.002,-87.905,22.310,-6.822,-97.000,33.000
0.000,18136.848,75.000,155.720,-68.495,0.002,-89.774,16.976,-5.117,-97.000,33.000
0.000,20554.473,50.000,211.129,-67.325,0.002,-91.757,10.367,-9.139,-97.000,33.000
