# UAH Radiosonde Data
# 20191216, 0054 UTC, Huntsville, AL, 212 m
latitude (deg), longitude (deg),UTC (HH:MM:SS),height (m AGL),pressure(mb),temp (deg C),RH (%),dewpoint (deg C),wind speed (kts),wind direction (deg)
-86.64644, 34.72457, 0:54:5, 9.5, 988.43, 15.2, 97.13, 14.7, 3.7, 198 
-86.64645, 34.72461, 0:54:10, 27.4, 986.35, 15.08, 96.38, 14.5, 4.1, 206 
-86.64638, 34.72469, 0:54:15, 45.2, 984.3, 14.94, 96.62, 14.4, 5.5, 207 
-86.64635, 34.72476, 0:54:20, 65.4, 981.96, 14.78, 97.02, 14.3, 5.3, 214 
-86.64628, 34.72498, 0:54:25, 85.1, 979.67, 14.72, 96.87, 14.2, 7.2, 222 
-86.64614, 34.72509, 0:54:30, 106.1, 977.25, 14.53, 98.65, 14.3, 8.4, 227 
-86.64595, 34.72537, 0:54:35, 128.1, 974.73, 14.44, 99.1, 14.3, 9.1, 231 
-86.64577, 34.72539, 0:54:40, 150.2, 972.19, 14.32, 98.45, 14.1, 10.7, 235 
-86.64535, 34.72556, 0:54:45, 171.9, 969.69, 14.21, 98.31, 13.9, 12.3, 244 
-86.64507, 34.72566, 0:54:50, 193.2, 967.27, 14.12, 98.22, 13.8, 13.8, 254 
-86.64478, 34.72574, 0:54:55, 213.7, 964.92, 14.06, 98.47, 13.8, 15.5, 260 
-86.64436, 34.72587, 0:55:0, 234.1, 962.61, 14.07, 99.14, 13.9, 17.0, 260 
-86.64379, 34.72596, 0:55:5, 255.4, 960.19, 14.27, 96.51, 13.7, 17.6, 262 
-86.64316, 34.72579, 0:55:10, 276.8, 957.77, 14.65, 93.72, 13.6, 18.7, 267 
-86.64251, 34.72586, 0:55:15, 298.1, 955.37, 14.6, 93.46, 13.6, 20.4, 270 
-86.642, 34.72592, 0:55:20, 319.5, 952.96, 14.11, 97.24, 13.7, 21.4, 272 
-86.64143, 34.72598, 0:55:25, 342.1, 950.42, 13.97, 98.1, 13.7, 22.5, 273 
-86.64086, 34.72582, 0:55:30, 364.2, 947.94, 13.9, 97.25, 13.5, 23.2, 269 
-86.6402, 34.72574, 0:55:35, 385.4, 945.57, 13.85, 97.59, 13.5, 24.6, 268 
-86.63955, 34.72568, 0:55:40, 406.0, 943.27, 13.77, 97.54, 13.4, 26.4, 269 
-86.63875, 34.72573, 0:55:45, 426.6, 940.97, 13.69, 96.48, 13.1, 27.3, 271 
-86.63795, 34.72583, 0:55:50, 447.1, 938.7, 13.65, 95.17, 12.9, 28.7, 270 
-86.63699, 34.72597, 0:55:55, 467.3, 936.46, 13.74, 94.51, 12.9, 30.2, 269 
-86.63607, 34.72597, 0:56:0, 487.3, 934.24, 13.79, 92.57, 12.6, 31.7, 268 
-86.6353, 34.72582, 0:56:5, 508.9, 931.86, 13.62, 93.77, 12.6, 32.6, 268 
-86.6344, 34.72576, 0:56:10, 530.7, 929.45, 13.48, 94.3, 12.6, 33.2, 269 
-86.63341, 34.72581, 0:56:15, 551.8, 927.14, 13.37, 94.4, 12.5, 33.1, 271 
-86.63242, 34.72586, 0:56:20, 575.0, 924.59, 13.21, 94.7, 12.4, 33.5, 270 
-86.63141, 34.72587, 0:56:25, 597.5, 922.14, 13.09, 97.39, 12.7, 35.6, 269 
-86.63047, 34.72586, 0:56:30, 621.3, 919.54, 12.96, 96.29, 12.4, 36.7, 268 
-86.62954, 34.72586, 0:56:35, 644.2, 917.04, 12.78, 96.2, 12.2, 37.6, 269 
-86.62853, 34.72596, 0:56:40, 667.1, 914.55, 12.56, 95.58, 11.9, 38.7, 268 
-86.6273, 34.7259, 0:56:45, 685.4, 912.56, 12.36, 96.58, 11.8, 39.7, 267 
-86.62614, 34.72589, 0:56:50, 706.5, 910.29, 12.15, 98.18, 11.9, 41.6, 267 
-86.62496, 34.72585, 0:56:55, 727.5, 908.01, 11.95, 98.19, 11.7, 43.8, 267 
-86.62372, 34.726, 0:57:0, 748.5, 905.74, 11.81, 97.71, 11.5, 45.6, 268 
-86.62248, 34.72614, 0:57:5, 769.5, 903.48, 11.69, 98.22, 11.4, 46.4, 268 
-86.62112, 34.72621, 0:57:10, 790.5, 901.23, 11.58, 97.85, 11.3, 47.6, 268 
-86.6197, 34.72621, 0:57:15, 811.4, 898.98, 11.52, 96.97, 11.1, 49.1, 267 
-86.61828, 34.7262, 0:57:20, 832.4, 896.73, 11.46, 95.87, 10.8, 50.3, 267 
-86.61686, 34.72619, 0:57:25, 853.4, 894.49, 11.4, 94.79, 10.6, 51.6, 267 
-86.61544, 34.72619, 0:57:30, 874.3, 892.26, 11.34, 94.24, 10.4, 52.3, 267 
-86.61394, 34.72628, 0:57:35, 895.3, 890.03, 11.2, 97.19, 10.8, 52.8, 266 
-86.61242, 34.72641, 0:57:40, 916.3, 887.81, 11.11, 97.18, 10.7, 53.3, 265 
-86.6109, 34.72655, 0:57:45, 937.2, 885.59, 11.02, 97.18, 10.6, 53.8, 264 
-86.60938, 34.72668, 0:57:50, 958.1, 883.38, 10.93, 97.17, 10.5, 54.3, 264 
-86.60785, 34.72681, 0:57:55, 979.1, 881.17, 10.84, 97.16, 10.4, 54.4, 263 
-86.60633, 34.72695, 0:58:0, 1000.0, 878.97, 10.74, 97.16, 10.3, 54.4, 263 
-86.60481, 34.72708, 0:58:5, 1020.9, 876.77, 10.65, 97.15, 10.2, 54.4, 263 
-86.60329, 34.72721, 0:58:10, 1041.8, 874.59, 10.56, 97.14, 10.1, 54.4, 263 
-86.60177, 34.72735, 0:58:15, 1062.7, 872.4, 10.47, 97.14, 10.0, 54.4, 263 
-86.60025, 34.72748, 0:58:20, 1083.6, 870.22, 10.38, 97.13, 9.9, 54.4, 263 
-86.59872, 34.72761, 0:58:25, 1104.5, 868.05, 10.28, 97.12, 9.8, 54.4, 263 
-86.5972, 34.72775, 0:58:30, 1125.4, 865.88, 10.19, 97.11, 9.8, 54.4, 263 
-86.59568, 34.72788, 0:58:35, 1146.2, 863.72, 10.1, 97.11, 9.7, 54.4, 263 
-86.59416, 34.72802, 0:58:40, 1155.9, 862.72, 10.01, 97.1, 9.6, 54.4, 263 
-86.59264, 34.72815, 0:58:45, 1175.8, 860.66, 9.92, 97.09, 9.5, 54.4, 263 
-86.59112, 34.72828, 0:58:50, 1196.1, 858.57, 9.82, 97.09, 9.4, 54.4, 263 
-86.58959, 34.72842, 0:58:55, 1217.0, 856.42, 9.73, 97.08, 9.3, 54.4, 263 
-86.58807, 34.72855, 0:59:0, 1238.6, 854.2, 9.64, 97.07, 9.2, 54.4, 263 
-86.58655, 34.72868, 0:59:5, 1260.3, 851.98, 9.55, 97.07, 9.1, 54.4, 263 
-86.58503, 34.72882, 0:59:10, 1282.6, 849.7, 9.46, 97.06, 9.0, 54.4, 263 
-86.58351, 34.72895, 0:59:15, 1302.3, 847.69, 9.36, 97.05, 8.9, 54.4, 263 
-86.58199, 34.72908, 0:59:20, 1324.3, 845.46, 9.27, 97.05, 8.8, 54.4, 263 
-86.58046, 34.72922, 0:59:25, 1345.5, 843.3, 9.18, 97.04, 8.7, 54.4, 263 
-86.57894, 34.72935, 0:59:30, 1366.4, 841.19, 9.09, 97.03, 8.6, 54.4, 263 
-86.57742, 34.72949, 0:59:35, 1396.4, 838.16, 9.0, 97.03, 8.6, 54.4, 263 
-86.5759, 34.72962, 0:59:40, 1415.3, 836.25, 8.9, 97.02, 8.5, 54.4, 263 
-86.57438, 34.72975, 0:59:45, 1434.3, 834.34, 8.81, 97.01, 8.4, 54.4, 263 
-86.57286, 34.72989, 0:59:50, 1453.2, 832.44, 8.72, 97.01, 8.3, 54.4, 263 
-86.57133, 34.73002, 0:59:55, 1473.2, 830.44, 8.63, 97.0, 8.2, 54.4, 263 
-86.56981, 34.73015, 1:0:0, 1492.1, 828.56, 8.54, 97.0, 8.1, 54.4, 263 
-86.56829, 34.73029, 1:0:5, 1510.9, 826.67, 8.44, 96.99, 8.0, 54.4, 263 
-86.56677, 34.73042, 1:0:10, 1529.8, 824.8, 8.35, 96.98, 7.9, 54.4, 263 
-86.56525, 34.73055, 1:0:15, 1555.2, 822.27, 8.26, 96.98, 7.8, 54.4, 263 
-86.56373, 34.73069, 1:0:20, 1573.7, 820.44, 8.17, 96.97, 7.7, 54.4, 263 
-86.5622, 34.73082, 1:0:25, 1592.1, 818.62, 8.08, 96.96, 7.6, 54.4, 263 
-86.56068, 34.73096, 1:0:30, 1610.6, 816.8, 7.98, 96.96, 7.5, 54.4, 263 
-86.55916, 34.73109, 1:0:35, 1629.0, 814.98, 7.89, 96.95, 7.4, 54.4, 263 
-86.55764, 34.73122, 1:0:40, 1647.5, 813.16, 7.8, 96.94, 7.3, 54.4, 263 
-86.55612, 34.73136, 1:0:45, 1665.9, 811.35, 7.71, 96.94, 7.3, 54.4, 263 
-86.5546, 34.73149, 1:0:50, 1684.3, 809.55, 7.62, 96.93, 7.2, 54.4, 263 
-86.55307, 34.73162, 1:0:55, 1702.8, 807.75, 7.52, 96.93, 7.1, 54.4, 263 
-86.55155, 34.73176, 1:1:0, 1721.2, 805.95, 7.43, 96.92, 7.0, 54.1, 263 
-86.55003, 34.73189, 1:1:5, 1739.6, 804.15, 7.34, 96.91, 6.9, 52.6, 262 
-86.54851, 34.73202, 1:1:10, 1758.0, 802.37, 7.25, 96.91, 6.8, 51.1, 261 
-86.54699, 34.73216, 1:1:15, 1776.4, 800.58, 7.16, 96.9, 6.7, 50.2, 260 
-86.54555, 34.73233, 1:1:20, 1794.8, 798.8, 7.03, 93.9, 6.1, 49.4, 259 
-86.54436, 34.73255, 1:1:25, 1813.1, 797.02, 6.97, 94.6, 6.2, 48.5, 257 
-86.54321, 34.73283, 1:1:30, 1831.5, 795.25, 6.99, 95.3, 6.3, 47.1, 255 
-86.54193, 34.73308, 1:1:35, 1849.9, 793.48, 6.95, 96.34, 6.4, 46.0, 254 
-86.54061, 34.73339, 1:1:40, 1868.3, 791.71, 6.84, 94.8, 6.1, 45.2, 253 
-86.53937, 34.73382, 1:1:45, 1886.7, 789.95, 6.65, 95.55, 6.0, 45.5, 253 
-86.53822, 34.73414, 1:1:50, 1905.0, 788.19, 6.48, 95.95, 5.9, 45.8, 253 
-86.53702, 34.73443, 1:1:55, 1923.3, 786.44, 6.35, 97.32, 6.0, 45.6, 253 
-86.53579, 34.73468, 1:2:0, 1941.7, 784.69, 6.18, 97.43, 5.8, 43.7, 253 
-86.53456, 34.73494, 1:2:5, 1960.0, 782.94, 6.02, 98.47, 5.8, 42.8, 254 
-86.53332, 34.73519, 1:2:10, 1978.3, 781.2, 5.86, 99.11, 5.7, 42.6, 254 
-86.53208, 34.73545, 1:2:15, 1995.7, 779.54, 5.69, 99.75, -9999.0, 42.1, 254 
-86.53121, 34.73572, 1:2:20, 2013.9, 777.82, 5.62, 99.05, 5.5, 41.6, 254 
-86.5301, 34.73599, 1:2:25, 2032.1, 776.1, 5.59, 98.26, 5.3, 41.1, 253 
-86.52899, 34.73625, 1:2:30, 2050.2, 774.38, 5.57, 97.46, 5.2, 40.5, 253 
-86.52789, 34.73652, 1:2:35, 2066.2, 772.88, 5.54, 96.68, 5.1, 40.7, 252 
-86.52678, 34.73678, 1:2:40, 2084.2, 771.19, 5.52, 95.89, 4.9, 41.7, 252 
-86.52568, 34.73705, 1:2:45, 2102.1, 769.5, 5.49, 95.12, 4.8, 41.7, 252 
-86.52457, 34.73732, 1:2:50, 2108.8, 768.87, 5.47, 94.34, 4.6, 41.7, 252 
-86.52334, 34.73772, 1:2:55, 2125.6, 767.3, 5.41, 94.38, 4.6, 42.3, 249 
-86.52224, 34.73801, 1:3:0, 2142.5, 765.72, 5.29, 94.71, 4.5, 42.6, 248 
-86.52115, 34.7383, 1:3:5, 2159.3, 764.15, 5.18, 95.05, 4.5, 43.0, 247 
-86.52005, 34.73859, 1:3:10, 2176.1, 762.59, 5.07, 95.39, 4.4, 43.4, 246 
-86.51898, 34.73925, 1:3:15, 2192.9, 761.02, 4.9, 95.99, 4.3, 43.0, 245 
-86.51786, 34.73969, 1:3:20, 2209.7, 759.46, 4.64, 96.97, 4.2, 43.5, 244 
-86.51675, 34.74012, 1:3:25, 2226.5, 757.9, 4.39, 97.96, 4.1, 43.7, 242 
%END%
